elapsed_seconds,present_gap_ms,frame_id,width,height,bitmap_allocations,native_crop_ms,generation2_collections
1.0058,14.482,58,570,819,2,3.004,1
1.0252,19.377,59,570,819,2,2.390,1
1.0511,25.841,60,571,819,2,4.130,1
1.0610,9.906,61,570,819,2,2.158,1
1.0701,9.105,62,570,819,2,2.247,1
1.0887,18.653,63,570,819,2,3.221,1
1.1038,15.056,64,571,819,2,2.306,1
1.1212,17.413,65,571,819,2,2.536,1
1.1346,13.397,66,571,819,2,2.133,1
1.1524,17.808,67,569,819,2,2.474,1
1.1661,13.733,68,567,819,2,2.092,1
1.1834,17.275,69,565,819,2,3.372,1
1.1985,15.121,70,563,819,2,2.243,1
1.2166,18.041,71,561,819,2,3.421,1
1.2315,14.922,72,559,819,2,2.113,1
1.2591,27.577,73,557,819,2,2.582,1
1.2750,15.974,74,554,819,2,3.397,1
1.2845,9.493,75,549,819,2,2.521,1
1.2982,13.708,76,549,819,2,2.112,1
1.3136,15.394,77,549,819,2,3.667,1
1.3306,16.993,78,550,819,2,2.337,1
1.3472,16.553,79,550,819,2,3.266,1
1.3732,26.053,80,550,819,2,3.546,1
1.3821,8.916,81,550,819,2,3.280,1
1.4065,24.394,82,550,819,2,3.035,1
1.4204,13.822,83,551,819,2,2.338,1
1.4295,9.167,84,552,819,2,2.089,1
1.4519,22.328,85,553,819,2,2.334,1
1.4757,23.835,86,554,819,2,3.339,1
1.4878,12.143,87,555,819,2,2.724,1
1.4988,10.972,88,555,819,2,2.163,1
1.5260,27.214,89,555,819,2,2.341,1
1.5423,16.274,90,556,819,2,2.652,1
1.5575,15.248,91,556,819,2,2.650,1
1.5744,16.831,92,557,819,2,3.282,1
1.5808,6.427,93,557,819,2,2.640,1
1.5970,16.195,94,558,819,2,2.464,1
1.6132,16.177,95,558,819,2,2.723,1
1.6303,17.147,96,558,819,2,2.122,1
1.6453,14.967,97,559,819,2,2.766,1
1.6611,15.816,98,559,819,2,2.815,1
1.6767,15.571,99,558,819,2,3.158,1
1.7014,24.681,100,558,819,2,2.511,1
1.7083,6.972,101,558,819,2,2.777,1
1.7247,16.381,102,558,819,2,2.275,1
1.7401,15.374,103,558,819,2,2.637,1
1.7563,16.185,104,558,819,2,2.539,1
1.7723,16.043,105,558,819,2,2.565,1
1.7890,16.678,106,558,819,2,2.531,1
1.8051,16.145,107,558,819,2,2.379,1
1.8224,17.255,108,557,819,2,2.428,1
1.8388,16.366,109,556,819,2,2.297,1
1.8555,16.755,110,556,819,2,2.555,1
1.8721,16.605,111,555,819,2,2.272,1
1.8904,18.283,112,554,819,2,2.441,1
1.9201,29.725,113,554,819,2,2.637,1
1.9264,6.304,114,554,819,2,2.236,1
1.9408,14.384,115,554,819,2,2.421,1
1.9706,29.763,116,553,819,2,2.538,1
1.9870,16.426,117,553,819,2,2.677,1
1.9944,7.395,118,552,819,2,2.361,1
2.0060,11.563,119,552,819,2,2.585,1
2.0235,17.542,120,551,819,2,2.510,1
2.0403,16.751,121,551,819,2,3.222,1
2.0576,17.378,122,550,819,2,2.708,1
2.0754,17.807,123,550,819,2,2.972,1
2.0905,15.062,124,549,819,2,2.906,1
2.1054,14.867,125,549,819,2,2.501,1
2.1218,16.460,126,549,819,2,2.343,1
2.1399,18.067,127,548,819,2,2.565,1
2.1704,30.551,128,547,819,2,3.389,1
2.1848,14.359,129,546,819,2,3.808,1
2.2033,18.453,130,545,819,2,2.653,1
2.2182,14.928,131,545,819,2,3.580,1
2.2255,7.321,132,545,819,2,2.292,1
2.2401,14.616,133,545,819,2,2.783,1
2.2549,14.735,134,545,819,2,2.169,1
2.2711,16.277,135,545,819,2,2.299,1
2.2896,18.493,136,546,819,2,2.389,1
2.3128,23.211,137,547,819,2,4.192,1
2.3248,11.927,138,548,819,2,2.684,1
2.3421,17.306,139,550,819,2,3.084,1
2.3575,15.402,140,551,819,2,2.355,1
2.3734,15.964,141,552,819,2,2.399,1
2.3890,15.584,142,554,819,2,2.416,1
2.4055,16.494,143,556,819,2,2.471,1
2.4235,17.963,144,557,819,2,2.479,1
2.4389,15.452,145,558,819,2,2.249,1
2.4556,16.699,146,559,819,2,2.267,1
2.4721,16.452,147,561,819,2,2.247,1
