elapsed_seconds,present_gap_ms,frame_id,width,height,bitmap_allocations,native_crop_ms,generation2_collections
1.0020,4.507,59,570,819,2,2.229,1
1.0293,27.334,60,570,819,2,2.651,1
1.0355,6.135,61,571,819,2,2.155,1
1.0632,27.738,62,570,819,2,2.754,1
1.0787,15.481,63,570,819,2,4.262,1
1.0899,11.199,64,570,819,2,2.547,1
1.1138,23.882,65,571,819,2,4.236,1
1.1251,11.354,66,571,819,2,2.557,1
1.1447,19.587,67,571,819,2,3.770,1
1.1727,27.995,68,570,819,2,2.677,1
1.1868,14.138,69,568,819,2,3.257,1
1.1944,7.610,70,566,819,2,3.021,1
1.2090,14.551,71,565,819,2,2.158,1
1.2351,26.138,72,562,819,2,2.175,1
1.2491,13.987,73,561,819,2,3.577,1
1.2669,17.779,74,558,819,2,2.136,1
1.2942,27.319,75,556,819,2,2.595,1
1.2996,5.393,76,553,819,2,2.130,1
1.3173,17.709,77,549,819,2,3.291,1
1.3321,14.761,78,550,819,2,2.166,1
1.3571,25.061,79,550,819,2,2.687,1
1.3643,7.190,80,550,819,2,2.125,1
1.3817,17.345,81,550,819,2,3.417,1
1.3959,14.240,82,550,819,2,2.165,1
1.4144,18.434,83,551,819,2,2.929,1
1.4289,14.507,84,552,819,2,2.953,1
1.4441,15.226,85,553,819,2,3.140,1
1.4611,17.006,86,554,819,2,2.513,1
1.4758,14.708,87,555,819,2,2.264,1
1.4984,22.593,88,555,819,2,3.169,1
1.5174,18.998,89,555,819,2,2.947,1
1.5446,27.239,90,556,819,2,4.281,1
1.5627,18.061,91,556,819,2,2.875,1
1.5747,12.004,92,557,819,2,3.023,1
1.5827,8.024,93,557,819,2,3.253,1
1.5995,16.785,94,558,819,2,2.137,1
1.6191,19.583,95,558,819,2,2.975,1
1.6559,36.785,96,559,819,2,2.595,1
1.6672,11.335,97,559,819,2,2.765,1
1.6764,9.181,98,558,819,2,2.573,1
1.6918,15.455,99,558,819,2,2.179,1
1.7191,27.303,100,558,819,2,3.750,1
1.7302,11.059,101,558,819,2,3.895,1
1.7477,17.479,102,558,819,2,4.370,1
1.7536,5.906,103,558,819,2,2.793,1
1.7678,14.190,104,558,819,2,2.140,1
1.7849,17.077,105,558,819,2,2.359,1
1.8004,15.519,106,558,819,2,2.620,1
1.8185,18.129,107,557,819,2,2.871,1
1.8324,13.920,108,556,819,2,2.270,1
1.8489,16.455,109,556,819,2,3.130,1
1.8640,15.116,110,555,819,2,2.164,1
1.8799,15.887,111,554,819,2,3.305,1
1.8946,14.738,112,554,819,2,2.498,1
1.9097,15.048,113,554,819,2,2.820,1
1.9256,15.892,114,554,819,2,2.848,1
1.9432,17.603,115,554,819,2,3.540,1
1.9594,16.270,116,553,819,2,2.605,1
1.9844,24.919,117,553,819,2,2.986,1
1.9943,9.971,118,552,819,2,2.788,1
2.0093,14.989,119,552,819,2,2.462,1
2.0273,17.963,120,551,819,2,3.065,1
2.0424,15.087,121,551,819,2,2.555,1
2.0590,16.662,122,550,819,2,2.229,1
2.0759,16.835,123,550,819,2,2.443,1
2.0930,17.155,124,549,819,2,2.212,1
2.1092,16.198,125,549,819,2,2.405,1
2.1260,16.744,126,549,819,2,2.868,1
2.1451,19.103,127,548,819,2,3.487,1
2.1605,15.447,128,547,819,2,2.939,1
2.1763,15.746,129,546,819,2,2.204,1
2.1930,16.738,130,545,819,2,2.791,1
2.2096,16.656,131,545,819,2,3.285,1
2.2253,15.632,132,545,819,2,2.619,1
2.2429,17.615,133,545,819,2,2.432,1
2.2655,22.646,134,545,819,2,3.138,1
2.2763,10.770,135,545,819,2,3.000,1
2.2919,15.589,136,545,819,2,2.216,1
2.3196,27.692,137,547,819,2,2.577,1
2.3268,7.228,138,548,819,2,2.338,1
2.3437,16.849,139,550,819,2,2.374,1
2.3592,15.576,140,551,819,2,2.115,1
2.3765,17.267,141,552,819,2,2.353,1
2.3922,15.724,142,554,819,2,2.118,1
2.4096,17.346,143,556,819,2,2.389,1
2.4258,16.185,144,557,819,2,2.211,1
2.4436,17.805,145,558,819,2,2.174,1
2.4615,17.951,146,559,819,2,2.724,1
2.4773,15.774,147,561,819,2,2.182,1
2.4973,20.007,148,562,819,2,3.706,1
