elapsed_seconds,present_gap_ms,frame_id,width,height,bitmap_allocations,native_crop_ms,generation2_collections
1.0173,23.533,54,569,819,2,4.009,1
1.0481,30.754,55,570,819,2,5.314,1
1.0759,27.821,56,570,819,2,3.565,1
1.1066,30.682,57,570,819,2,4.091,1
1.1273,20.715,58,570,819,2,2.442,1
1.1462,18.930,59,571,819,2,2.724,1
1.1627,16.544,60,570,819,2,2.192,1
1.1826,19.854,61,566,819,2,3.644,1
1.2020,19.362,62,563,819,2,2.152,1
1.2237,21.734,63,561,819,2,3.266,1
1.2375,13.754,64,558,819,2,2.564,1
1.2606,23.172,65,555,819,2,2.715,1
1.2764,15.798,66,549,819,2,3.329,1
1.2944,18.016,67,549,819,2,2.309,1
1.3114,16.964,68,550,819,2,2.780,1
1.3387,27.247,69,550,819,2,3.185,1
1.3523,13.684,70,550,819,2,4.136,1
1.3615,9.172,71,550,819,2,2.165,1
1.3895,27.977,72,550,819,2,3.357,1
1.3966,7.120,73,551,819,2,2.108,1
1.4250,28.348,74,552,819,2,4.471,1
1.4315,6.511,75,553,819,2,2.115,1
1.4504,18.985,76,554,819,2,2.786,1
1.4783,27.892,77,555,819,2,2.763,1
1.4850,6.631,78,555,819,2,3.269,1
1.5010,16.021,79,556,819,2,2.180,1
1.5186,17.651,80,556,819,2,2.466,1
1.5329,14.205,81,556,819,2,2.114,1
1.5526,19.724,82,557,819,2,2.385,1
1.5666,14.067,83,557,819,2,2.182,1
1.5949,28.238,84,558,819,2,2.400,1
1.6005,5.641,85,558,819,2,2.140,1
1.6296,29.037,86,559,819,2,2.488,1
1.6473,17.780,87,559,819,2,3.323,1
1.6558,8.447,88,559,819,2,2.751,1
1.6832,27.390,89,558,819,2,4.144,1
1.6970,13.810,90,558,819,2,2.376,1
1.7032,6.220,91,558,819,2,2.378,1
1.7206,17.371,92,558,819,2,2.446,1
1.7361,15.547,93,558,819,2,2.986,1
1.7623,26.185,94,558,819,2,2.904,1
1.7807,18.373,95,558,819,2,4.163,1
1.7955,14.838,96,558,819,2,2.609,1
1.8034,7.907,97,557,819,2,2.616,1
1.8244,20.981,98,557,819,2,3.182,1
1.8365,12.045,99,556,819,2,2.266,1
1.8571,20.615,100,555,819,2,2.966,1
1.8684,11.364,101,554,819,2,2.145,1
1.8870,18.578,102,554,819,2,2.821,1
1.9137,26.671,103,554,819,2,3.447,1
1.9312,17.493,104,554,819,2,2.379,1
1.9384,7.246,105,554,819,2,2.728,1
1.9555,17.109,106,553,819,2,2.419,1
1.9712,15.701,107,553,819,2,2.386,1
1.9853,14.088,108,552,819,2,2.599,1
1.9993,13.986,109,552,819,2,2.158,1
2.0190,19.719,110,551,819,2,2.969,1
2.0332,14.168,111,551,819,2,2.099,1
2.0606,27.460,112,550,819,2,2.650,1
2.0783,17.671,113,550,819,2,3.257,1
2.0863,7.955,114,549,819,2,2.528,1
2.1015,15.213,115,549,819,2,2.452,1
2.1183,16.822,116,549,819,2,2.303,1
2.1342,15.859,117,548,819,2,2.736,1
2.1530,18.840,118,546,819,2,2.939,1
2.1674,14.413,119,545,819,2,2.736,1
2.1844,16.955,120,545,819,2,2.407,1
2.1981,13.682,121,545,819,2,2.176,1
2.2194,21.296,122,545,819,2,6.980,1
2.2299,10.588,123,545,819,2,2.224,1
2.2559,26.005,124,545,819,2,3.830,1
2.2624,6.439,125,545,819,2,2.301,1
2.2836,21.178,126,546,819,2,2.603,1
2.3084,24.802,127,548,819,2,3.117,1
2.3209,12.572,128,549,819,2,3.128,1
2.3444,23.456,129,550,819,2,2.741,1
2.3548,10.444,130,551,819,2,2.499,1
2.3780,23.189,131,552,819,2,3.152,1
2.3887,10.662,132,554,819,2,3.149,1
2.4005,11.791,133,556,819,2,2.116,1
2.4192,18.715,134,557,819,2,2.845,1
2.4344,15.192,135,558,819,2,2.103,1
2.4663,31.930,136,560,819,2,2.606,1
2.4726,6.253,137,562,819,2,2.654,1
2.4913,18.753,138,562,819,2,2.714,1
2.5131,21.805,139,562,819,2,3.047,1
2.5286,15.431,140,562,819,2,2.759,1
2.5577,29.174,141,563,819,2,3.324,1
2.5649,7.129,142,563,819,2,2.663,1
2.5834,18.559,143,560,819,2,3.667,1
2.6113,27.845,144,559,819,2,3.047,1
2.6417,30.420,145,559,819,2,3.276,1
2.6514,9.714,146,558,819,2,2.412,1
2.6698,18.391,147,555,819,2,2.769,1
2.6987,28.864,148,545,819,2,3.244,1
2.7062,7.559,149,545,819,2,2.532,1
2.7236,17.393,150,545,819,2,2.670,1
2.7382,14.604,151,545,819,2,2.422,1
2.7554,17.154,152,545,819,2,2.361,1
2.7711,15.784,153,545,819,2,2.325,1
2.7890,17.833,154,545,819,2,2.420,1
2.8028,13.841,155,545,819,2,2.219,1
2.8410,38.184,156,545,819,2,3.244,1
2.8547,13.732,157,545,819,2,2.949,1
2.8645,9.737,158,545,819,2,2.625,1
2.8822,17.690,159,545,819,2,3.368,1
2.8960,13.870,160,545,819,2,2.115,1
2.9154,19.327,161,545,819,2,3.816,1
2.9298,14.466,162,545,819,2,2.114,1
2.9465,16.642,163,545,819,2,3.011,1
2.9620,15.488,164,545,819,2,2.345,1
2.9787,16.695,165,545,819,2,3.215,1
2.9939,15.288,166,545,819,2,2.393,1
3.0123,18.378,167,545,819,2,2.627,1
3.0254,13.070,168,545,819,2,2.429,1
3.0494,24.035,169,545,819,2,4.021,1
3.0705,21.068,170,545,819,2,3.073,1
3.0834,12.940,171,545,819,2,4.052,1
3.0930,9.554,172,545,819,2,2.234,1
3.1185,25.471,173,545,819,2,2.416,1
3.1251,6.622,174,545,819,2,2.607,1
3.1400,14.971,175,545,819,2,2.713,1
3.1649,24.877,176,545,819,2,2.488,1
3.1839,18.939,177,545,819,2,2.588,1
3.1909,7.032,178,545,819,2,2.547,1
3.2047,13.846,179,545,819,2,2.382,1
3.2306,25.850,180,545,819,2,2.931,1
3.2479,17.292,181,545,819,2,3.565,1
3.2550,7.104,182,545,819,2,2.864,1
3.2820,27.014,183,545,819,2,4.015,1
3.2953,13.263,184,545,819,2,2.609,1
3.3015,6.256,185,545,819,2,2.719,1
3.3210,19.501,186,545,819,2,2.498,1
3.3376,16.595,187,545,819,2,3.219,1
3.3604,22.801,188,545,819,2,2.298,1
3.3870,26.583,189,545,819,2,2.765,1
3.3947,7.693,190,555,819,2,2.147,1
3.4129,18.192,191,563,819,2,3.783,1
